Vendor ID,Invoice Date,Payment Amount,Vendor Category,Vendor Location,Due Date,Payment Terms,delay_days,Payment Date,is_delayed,Historical Payment Behavior
V001,2024-12-15,59621,Logistics,EU,2025-01-09,25,15,2025-01-24,1,11.912280701754385
V001,2024-12-29,67868,Services,Asia,2025-02-07,40,16,2025-02-23,1,11.96551724137931
V002,2023-01-14,37127,Technology,EU,2023-03-06,51,13,2023-03-19,1,0.0
V002,2023-01-18,43140,Raw Materials,Africa,2023-04-20,92,10,2023-04-30,1,13.0
V002,2023-01-22,3380,Technology,Asia,2023-05-19,117,5,2023-05-24,1,11.5
V002,2023-02-03,64496,Raw Materials,Asia,2023-02-22,19,14,2023-03-08,1,9.333333333333334
V002,2023-02-08,11968,Logistics,EU,2023-04-11,62,13,2023-04-24,1,10.5
V002,2023-02-17,49475,Technology,Asia,2023-02-28,11,16,2023-03-16,1,11.0
V002,2023-03-02,64545,Services,US,2023-04-10,39,14,2023-04-24,1,11.833333333333334
V002,2023-03-12,16573,Logistics,US,2023-04-10,29,14,2023-04-24,1,12.142857142857142
V002,2023-03-17,35298,Technology,US,2023-05-30,74,10,2023-06-09,1,12.375
V002,2023-03-19,42670,Services,EU,2023-03-27,8,13,2023-04-09,1,12.11111111111111
V002,2023-03-19,4351,Technology,Asia,2023-07-01,104,8,2023-07-09,1,12.2
V002,2023-04-03,52483,Services,US,2023-06-04,62,12,2023-06-16,1,11.818181818181818
V002,2023-04-09,32972,Logistics,US,2023-07-31,113,8,2023-08-08,1,11.833333333333334
V002,2023-04-11,5973,Logistics,EU,2023-04-22,11,14,2023-05-06,1,11.538461538461538
V002,2023-04-16,33494,Services,US,2023-07-20,95,8,2023-07-28,1,11.714285714285714
V002,2023-05-04,46318,Services,US,2023-06-30,57,12,2023-07-12,1,11.466666666666667
V002,2023-05-12,6028,Technology,US,2023-07-26,75,8,2023-08-03,1,11.5
V002,2023-06-07,27663,Logistics,Asia,2023-08-25,79,11,2023-09-05,1,11.294117647058824
V002,2023-06-25,38461,Services,EU,2023-10-04,101,6,2023-10-10,1,11.277777777777779
V002,2023-06-29,16160,Raw Materials,US,2023-10-26,119,6,2023-11-01,1,11.0
V002,2023-07-08,14937,Raw Materials,Asia,2023-09-13,67,11,2023-09-24,1,10.75
V002,2023-07-13,73894,Logistics,US,2023-09-28,77,12,2023-10-10,1,10.761904761904763
V002,2023-07-18,19427,Services,Asia,2023-08-28,41,14,2023-09-11,1,10.818181818181818
V002,2023-07-19,63726,Technology,EU,2023-09-09,52,12,2023-09-21,1,10.956521739130435
V002,2023-07-28,66249,Technology,EU,2023-08-20,23,13,2023-09-02,1,11.0
V002,2023-07-29,16961,Technology,US,2023-09-06,39,12,2023-09-18,1,11.08
V002,2023-08-14,71482,Logistics,Asia,2023-09-11,28,15,2023-09-26,1,11.115384615384615
V002,2023-08-18,27961,Services,US,2023-10-21,64,11,2023-11-01,1,11.25925925925926
V002,2023-09-14,38004,Logistics,US,2023-09-26,12,16,2023-10-12,1,11.25
V002,2023-10-27,3161,Logistics,Asia,2024-01-05,70,12,2024-01-17,1,11.413793103448276
V002,2023-11-25,70101,Technology,Asia,2023-12-12,17,16,2023-12-28,1,11.433333333333334
V002,2023-12-01,1041,Logistics,US,2024-01-09,39,12,2024-01-21,1,11.580645161290322
V002,2023-12-02,29382,Technology,Africa,2024-01-21,50,13,2024-02-03,1,11.59375
V002,2023-12-03,61696,Raw Materials,US,2024-02-04,63,11,2024-02-15,1,11.636363636363637
V002,2023-12-21,4616,Technology,US,2024-04-03,104,7,2024-04-10,1,11.617647058823529
V002,2023-12-27,70219,Logistics,Asia,2024-03-28,92,11,2024-04-08,1,11.485714285714286
V002,2024-02-23,66184,Raw Materials,Africa,2024-06-22,120,10,2024-07-02,1,11.472222222222221
V002,2024-02-25,54614,Services,Asia,2024-04-13,48,12,2024-04-25,1,11.432432432432432
V002,2024-02-26,49657,Services,EU,2024-04-13,47,12,2024-04-25,1,11.447368421052632
V002,2024-03-08,29874,Logistics,EU,2024-04-06,29,15,2024-04-21,1,11.461538461538462
V002,2024-04-07,30710,Services,Africa,2024-07-04,88,10,2024-07-14,1,11.55
V002,2024-04-23,5629,Raw Materials,EU,2024-08-06,105,6,2024-08-12,1,11.512195121951219
V002,2024-04-24,71607,Services,Asia,2024-06-07,44,15,2024-06-22,1,11.380952380952381
V002,2024-04-28,14413,Raw Materials,EU,2024-07-07,70,11,2024-07-18,1,11.465116279069768
V002,2024-05-28,12617,Logistics,EU,2024-06-26,29,14,2024-07-10,1,11.454545454545455
V002,2024-05-28,1381,Raw Materials,EU,2024-07-03,36,13,2024-07-16,1,11.511111111111111
V002,2024-06-14,49854,Raw Materials,Africa,2024-08-30,77,13,2024-09-12,1,11.543478260869565
V002,2024-06-14,32391,Services,Asia,2024-07-11,27,15,2024-07-26,1,11.574468085106384
V002,2024-06-19,63205,Services,Africa,2024-08-18,60,11,2024-08-29,1,11.645833333333334
V002,2024-07-09,52957,Technology,US,2024-09-21,74,11,2024-10-02,1,11.63265306122449
V002,2024-07-19,28143,Services,US,2024-09-04,47,12,2024-09-16,1,11.62
V002,2024-07-21,73686,Services,US,2024-08-07,17,13,2024-08-20,1,11.627450980392156
V002,2024-07-25,3810,Raw Materials,Asia,2024-08-14,20,15,2024-08-29,1,11.653846153846153
V002,2024-08-17,71723,Logistics,US,2024-08-25,8,16,2024-09-10,1,11.716981132075471
V002,2024-08-26,2597,Raw Materials,US,2024-11-02,68,9,2024-11-11,1,11.796296296296296
V002,2024-08-28,11921,Services,EU,2024-09-13,16,15,2024-09-28,1,11.745454545454546
V002,2024-09-24,70006,Logistics,Asia,2024-12-26,93,13,2025-01-08,1,11.803571428571429
V002,2024-09-29,6418,Raw Materials,Asia,2024-11-22,54,12,2024-12-04,1,11.824561403508772
V002,2024-10-12,38606,Services,EU,2024-12-31,80,9,2025-01-09,1,11.827586206896552
V002,2024-10-24,44023,Raw Materials,Asia,2024-12-28,65,13,2025-01-10,1,11.779661016949152
V002,2024-10-26,58221,Logistics,US,2024-11-30,35,13,2024-12-13,1,11.8
V002,2024-10-28,33912,Logistics,Asia,2024-12-24,57,12,2025-01-05,1,11.819672131147541
V002,2024-11-09,46354,Raw Materials,US,2024-11-27,18,16,2024-12-13,1,11.82258064516129
V002,2024-11-17,28804,Logistics,US,2024-11-27,10,15,2024-12-12,1,11.88888888888889
V002,2024-11-28,36143,Technology,Africa,2025-03-24,116,8,2025-04-01,1,11.9375
V002,2024-12-02,64953,Logistics,EU,2025-02-15,75,10,2025-02-25,1,11.876923076923077
V002,2024-12-11,1966,Raw Materials,EU,2025-03-16,95,8,2025-03-24,1,11.848484848484848
V002,2024-12-31,56206,Raw Materials,EU,2025-01-09,9,16,2025-01-25,1,11.791044776119403
V003,2023-01-03,11015,Services,Africa,2023-03-10,66,11,2023-03-21,1,0.0
V003,2023-01-26,40175,Logistics,Asia,2023-05-15,109,9,2023-05-24,1,11.0
V003,2023-02-11,11771,Technology,Africa,2023-05-21,99,8,2023-05-29,1,10.0
V003,2023-02-15,40664,Services,US,2023-05-26,100,7,2023-06-02,1,9.333333333333334
V003,2023-02-19,74929,Technology,EU,2023-05-16,86,11,2023-05-27,1,8.75
V003,2023-03-09,18126,Services,US,2023-06-06,89,8,2023-06-14,1,9.2
V003,2023-03-22,57767,Technology,EU,2023-07-04,104,8,2023-07-12,1,9.0
V003,2023-03-29,30091,Raw Materials,Africa,2023-04-13,15,17,2023-04-30,1,8.857142857142858
V003,2023-04-18,33734,Technology,US,2023-07-11,84,10,2023-07-21,1,9.875
V003,2023-04-19,21077,Services,Africa,2023-06-01,43,13,2023-06-14,1,9.88888888888889
V003,2023-04-20,73738,Services,Africa,2023-07-27,98,11,2023-08-07,1,10.2
V003,2023-05-06,64797,Raw Materials,Africa,2023-06-14,39,14,2023-06-28,1,10.272727272727273
V003,2023-05-26,67914,Logistics,US,2023-07-28,63,13,2023-08-10,1,10.583333333333334
V003,2023-05-29,48778,Technology,EU,2023-06-21,23,15,2023-07-06,1,10.76923076923077
V003,2023-06-02,42773,Raw Materials,EU,2023-08-12,71,11,2023-08-23,1,11.071428571428571
V003,2023-07-20,45034,Technology,US,2023-08-10,21,15,2023-08-25,1,11.066666666666666
V003,2023-07-24,23855,Logistics,Asia,2023-10-13,81,10,2023-10-23,1,11.3125
V003,2023-08-08,51530,Logistics,EU,2023-09-28,51,15,2023-10-13,1,11.235294117647058
V003,2023-08-10,30295,Logistics,Asia,2023-11-10,92,13,2023-11-23,1,11.444444444444445
V003,2023-08-25,11394,Services,US,2023-10-05,41,12,2023-10-17,1,11.526315789473685
V003,2023-09-01,55732,Technology,US,2023-10-24,53,12,2023-11-05,1,11.55
V003,2023-09-17,25707,Raw Materials,US,2023-10-04,17,15,2023-10-19,1,11.571428571428571
V003,2023-09-18,57448,Raw Materials,Asia,2023-11-14,57,14,2023-11-28,1,11.727272727272727
V003,2023-09-19,72107,Logistics,US,2023-10-01,12,18,2023-10-19,1,11.826086956521738
V003,2023-09-20,31406,Raw Materials,Asia,2023-12-09,80,13,2023-12-22,1,12.083333333333334
V003,2023-10-10,47047,Raw Materials,US,2023-10-26,16,16,2023-11-11,1,12.12
V003,2023-10-11,48342,Technology,Africa,2023-11-06,26,15,2023-11-21,1,12.26923076923077
V003,2023-10-18,66164,Logistics,US,2023-11-14,27,15,2023-11-29,1,12.37037037037037
V003,2023-10-27,13362,Services,Africa,2023-11-22,26,15,2023-12-07,1,12.464285714285714
V003,2023-10-27,73880,Technology,Africa,2023-12-06,40,15,2023-12-21,1,12.551724137931034
V003,2023-11-03,43571,Raw Materials,EU,2023-12-20,47,13,2024-01-02,1,12.633333333333333
V003,2023-11-06,63167,Technology,Asia,2024-01-22,77,12,2024-02-03,1,12.64516129032258
V003,2023-11-24,1224,Raw Materials,Asia,2023-12-24,30,13,2024-01-06,1,12.625
V003,2023-11-26,9932,Raw Materials,EU,2023-12-24,28,13,2024-01-06,1,12.636363636363637
V003,2023-11-27,36907,Logistics,Africa,2024-03-02,96,11,2024-03-13,1,12.647058823529411
V003,2023-12-10,61049,Raw Materials,EU,2024-01-12,33,14,2024-01-26,1,12.6
V003,2023-12-22,19198,Logistics,Asia,2024-02-14,54,11,2024-02-25,1,12.63888888888889
V003,2023-12-24,22462,Raw Materials,US,2024-01-19,26,14,2024-02-02,1,12.594594594594595
V003,2024-01-22,60777,Logistics,US,2024-04-13,82,10,2024-04-23,1,12.631578947368421
V003,2024-01-24,68938,Raw Materials,US,2024-02-12,19,16,2024-02-28,1,12.564102564102564
V003,2024-01-25,26051,Logistics,Asia,2024-04-15,81,10,2024-04-25,1,12.65
V003,2024-01-26,51260,Raw Materials,US,2024-03-21,55,13,2024-04-03,1,12.585365853658537
V003,2024-01-28,45488,Logistics,US,2024-05-07,100,8,2024-05-15,1,12.595238095238095
V003,2024-02-08,18214,Logistics,US,2024-05-11,93,9,2024-05-20,1,12.488372093023257
V003,2024-02-16,66423,Raw Materials,Africa,2024-03-12,25,15,2024-03-27,1,12.409090909090908
V003,2024-03-08,66312,Technology,US,2024-04-25,48,13,2024-05-08,1,12.466666666666667
V003,2024-03-15,29006,Services,Africa,2024-05-07,53,14,2024-05-21,1,12.478260869565217
V003,2024-03-29,29904,Services,Africa,2024-07-11,104,8,2024-07-19,1,12.51063829787234
V003,2024-04-08,23575,Logistics,EU,2024-07-11,94,10,2024-07-21,1,12.416666666666666
V003,2024-04-09,32165,Services,Africa,2024-05-07,28,14,2024-05-21,1,12.36734693877551
V003,2024-04-13,2544,Raw Materials,Africa,2024-05-18,35,15,2024-06-02,1,12.4
V003,2024-04-15,52177,Services,EU,2024-05-13,28,12,2024-05-25,1,12.450980392156863
V003,2024-04-20,56742,Logistics,Asia,2024-07-01,72,12,2024-07-13,1,12.442307692307692
V003,2024-04-20,39174,Services,Asia,2024-04-29,9,14,2024-05-13,1,12.433962264150944
V003,2024-04-23,48466,Services,Asia,2024-05-24,31,12,2024-06-05,1,12.462962962962964
V003,2024-05-17,24102,Raw Materials,US,2024-07-13,57,12,2024-07-25,1,12.454545454545455
V003,2024-05-18,2410,Services,Africa,2024-09-10,115,7,2024-09-17,1,12.446428571428571
V003,2024-06-12,65347,Services,Africa,2024-08-17,66,12,2024-08-29,1,12.350877192982455
V003,2024-07-01,72663,Services,Africa,2024-10-23,114,7,2024-10-30,1,12.344827586206897
V003,2024-07-28,7818,Logistics,EU,2024-08-06,9,17,2024-08-23,1,12.254237288135593
V003,2024-07-29,22969,Technology,Africa,2024-09-18,51,11,2024-09-29,1,12.333333333333334
V003,2024-07-30,23374,Services,EU,2024-10-07,69,10,2024-10-17,1,12.311475409836065
V003,2024-08-25,45115,Raw Materials,Africa,2024-10-24,60,13,2024-11-06,1,12.274193548387096
V003,2024-09-10,8529,Technology,US,2024-10-03,23,13,2024-10-16,1,12.285714285714286
V003,2024-09-17,51870,Raw Materials,US,2024-11-12,56,11,2024-11-23,1,12.296875
V003,2024-09-24,20012,Logistics,US,2024-12-21,88,8,2024-12-29,1,12.276923076923078
V003,2024-10-02,17405,Services,US,2025-01-22,112,7,2025-01-29,1,12.212121212121213
V003,2024-10-30,47321,Raw Materials,US,2025-01-20,82,9,2025-01-29,1,12.134328358208956
V003,2024-12-09,31420,Raw Materials,Africa,2024-12-21,12,18,2025-01-08,1,12.088235294117647
V003,2024-12-13,55043,Services,EU,2025-01-16,34,14,2025-01-30,1,12.173913043478262
V004,2023-01-10,24876,Logistics,Africa,2023-03-03,52,13,2023-03-16,1,0.0
V004,2023-01-11,35379,Technology,Africa,2023-03-18,66,12,2023-03-30,1,13.0
V004,2023-01-13,27993,Services,EU,2023-03-28,74,11,2023-04-08,1,12.5
V004,2023-01-18,69314,Technology,EU,2023-02-01,14,15,2023-02-16,1,12.0
V004,2023-01-19,18219,Raw Materials,Africa,2023-02-26,38,14,2023-03-12,1,12.75
V004,2023-01-21,5954,Technology,Africa,2023-04-17,86,9,2023-04-26,1,13.0
V004,2023-02-02,43528,Raw Materials,US,2023-02-16,14,16,2023-03-04,1,12.333333333333334
V004,2023-02-11,35940,Services,Asia,2023-05-27,105,10,2023-06-06,1,12.857142857142858
V004,2023-02-16,19740,Logistics,US,2023-05-15,88,11,2023-05-26,1,12.5
V004,2023-02-17,46907,Raw Materials,EU,2023-06-17,120,6,2023-06-23,1,12.333333333333334
V004,2023-02-25,63170,Services,Asia,2023-06-08,103,9,2023-06-17,1,11.7
V004,2023-03-10,13590,Raw Materials,Asia,2023-07-07,119,8,2023-07-15,1,11.454545454545455
V004,2023-04-04,27388,Raw Materials,Asia,2023-06-09,66,12,2023-06-21,1,11.166666666666666
V004,2023-04-24,35629,Logistics,EU,2023-07-29,96,9,2023-08-07,1,11.23076923076923
V004,2023-05-06,26163,Services,US,2023-05-27,21,15,2023-06-11,1,11.071428571428571
V004,2023-05-07,39345,Raw Materials,Africa,2023-08-20,105,10,2023-08-30,1,11.333333333333334
V004,2023-05-14,6528,Services,US,2023-07-21,68,12,2023-08-02,1,11.25
V004,2023-05-20,55165,Services,Asia,2023-06-09,20,14,2023-06-23,1,11.294117647058824
V004,2023-05-21,49554,Logistics,EU,2023-07-05,45,14,2023-07-19,1,11.444444444444445
V004,2023-06-09,25420,Logistics,EU,2023-07-02,23,14,2023-07-16,1,11.578947368421053
V004,2023-06-12,10971,Technology,Asia,2023-10-06,116,7,2023-10-13,1,11.7
V004,2023-06-13,47981,Services,EU,2023-08-20,68,11,2023-08-31,1,11.476190476190476
V004,2023-06-26,69519,Logistics,US,2023-07-06,10,18,2023-07-24,1,11.454545454545455
V004,2023-06-29,55407,Raw Materials,US,2023-09-17,80,10,2023-09-27,1,11.73913043478261
V004,2023-07-07,15110,Technology,EU,2023-10-11,96,9,2023-10-20,1,11.666666666666666
V004,2023-07-09,40301,Raw Materials,US,2023-08-03,25,14,2023-08-17,1,11.56
V004,2023-07-12,44910,Logistics,US,2023-09-21,71,11,2023-10-02,1,11.653846153846153
V004,2023-07-24,28451,Services,US,2023-08-08,15,15,2023-08-23,1,11.62962962962963
V004,2023-07-25,27335,Services,EU,2023-08-25,31,13,2023-09-07,1,11.75
V004,2023-07-26,34424,Raw Materials,EU,2023-09-12,48,12,2023-09-24,1,11.793103448275861
V004,2023-07-31,32161,Logistics,US,2023-09-30,61,13,2023-10-13,1,11.8
V004,2023-08-02,10067,Services,EU,2023-10-04,63,11,2023-10-15,1,11.838709677419354
V004,2023-08-06,70584,Services,Africa,2023-08-13,7,15,2023-08-28,1,11.8125
V004,2023-08-29,74002,Logistics,Asia,2023-12-16,109,9,2023-12-25,1,11.909090909090908
V004,2023-09-07,45840,Services,US,2023-12-09,93,8,2023-12-17,1,11.823529411764707
V004,2023-09-30,12920,Logistics,EU,2023-11-29,60,12,2023-12-11,1,11.714285714285714
V004,2023-09-30,34611,Logistics,Asia,2024-01-27,119,9,2024-02-05,1,11.722222222222221
V004,2023-10-19,9629,Technology,Africa,2024-02-06,110,10,2024-02-16,1,11.64864864864865
V004,2023-10-23,3468,Technology,Africa,2024-01-09,78,11,2024-01-20,1,11.605263157894736
V004,2023-11-17,23129,Services,Africa,2023-12-28,41,12,2024-01-09,1,11.58974358974359
V004,2023-12-11,17562,Raw Materials,EU,2024-02-13,64,11,2024-02-24,1,11.6
V004,2023-12-26,64051,Services,Africa,2024-02-26,62,11,2024-03-08,1,11.585365853658537
V004,2023-12-30,54917,Services,Asia,2024-03-31,92,10,2024-04-10,1,11.571428571428571
V004,2023-12-30,65765,Raw Materials,Africa,2024-04-09,101,10,2024-04-19,1,11.534883720930232
V004,2024-01-29,39170,Logistics,US,2024-03-05,36,15,2024-03-20,1,11.5
V004,2024-02-11,2948,Services,US,2024-04-02,51,10,2024-04-12,1,11.577777777777778
V004,2024-02-26,73351,Raw Materials,EU,2024-03-06,9,17,2024-03-23,1,11.543478260869565
V004,2024-04-12,46754,Logistics,Asia,2024-05-12,30,15,2024-05-27,1,11.659574468085106
V004,2024-05-07,14568,Raw Materials,Asia,2024-07-03,57,13,2024-07-16,1,11.729166666666666
V004,2024-05-10,7814,Services,EU,2024-07-05,56,14,2024-07-19,1,11.755102040816327
V004,2024-05-31,3863,Raw Materials,Africa,2024-07-08,38,14,2024-07-22,1,11.8
V004,2024-06-08,28659,Raw Materials,Africa,2024-09-21,105,10,2024-10-01,1,11.843137254901961
V004,2024-06-25,42736,Raw Materials,EU,2024-08-25,61,13,2024-09-07,1,11.807692307692308
V004,2024-06-27,65949,Raw Materials,Africa,2024-07-11,14,14,2024-07-25,1,11.830188679245284
V004,2024-07-19,30267,Technology,EU,2024-11-07,111,8,2024-11-15,1,11.87037037037037
V004,2024-07-29,68371,Technology,Africa,2024-10-05,68,12,2024-10-17,1,11.8
V004,2024-08-06,62908,Raw Materials,EU,2024-08-20,14,18,2024-09-07,1,11.803571428571429
V004,2024-08-11,6735,Raw Materials,Asia,2024-09-15,35,12,2024-09-27,1,11.912280701754385
V004,2024-08-13,20230,Technology,Africa,2024-10-09,57,14,2024-10-23,1,11.913793103448276
V004,2024-08-24,47325,Services,EU,2024-09-01,8,15,2024-09-16,1,11.94915254237288
V004,2024-08-30,25526,Raw Materials,Asia,2024-09-08,9,17,2024-09-25,1,12.0
V004,2024-09-15,51467,Logistics,US,2024-12-29,105,8,2025-01-06,1,12.081967213114755
V004,2024-09-17,12933,Technology,Asia,2024-09-25,8,16,2024-10-11,1,12.016129032258064
V004,2024-09-20,30713,Raw Materials,EU,2024-12-18,89,10,2024-12-28,1,12.079365079365079
V004,2024-10-01,48717,Services,US,2024-11-13,43,13,2024-11-26,1,12.046875
V004,2024-10-01,25507,Raw Materials,Africa,2024-12-23,83,11,2025-01-03,1,12.061538461538461
V004,2024-10-11,3906,Services,US,2024-12-24,74,9,2025-01-02,1,12.045454545454545
V004,2024-10-28,53348,Logistics,EU,2025-02-06,101,10,2025-02-16,1,12.0
V004,2024-10-28,31245,Technology,Africa,2025-02-24,119,9,2025-03-05,1,11.970588235294118
V004,2024-11-20,65606,Services,US,2025-02-16,88,9,2025-02-25,1,11.927536231884059
V004,2024-11-24,52365,Services,EU,2025-02-06,74,12,2025-02-18,1,11.885714285714286
V004,2024-11-24,16494,Raw Materials,Africa,2025-03-20,116,8,2025-03-28,1,11.887323943661972
V004,2024-12-01,12901,Services,US,2025-03-17,106,7,2025-03-24,1,11.833333333333334
V004,2024-12-13,38999,Technology,US,2025-04-11,119,7,2025-04-18,1,11.767123287671232
V004,2024-12-21,35131,Services,EU,2025-01-28,38,14,2025-02-11,1,11.702702702702704
V005,2023-01-01,60583,Raw Materials,Asia,2023-04-26,115,9,2023-05-05,1,0.0
V005,2023-01-03,66306,Services,Africa,2023-02-21,49,13,2023-03-06,1,9.0
V005,2023-01-21,12341,Raw Materials,Asia,2023-04-28,97,8,2023-05-06,1,11.0
V005,2023-01-21,61492,Logistics,EU,2023-05-08,107,9,2023-05-17,1,10.0
V005,2023-01-29,71538,Services,Asia,2023-03-29,59,14,2023-04-12,1,9.75
V005,2023-02-07,28235,Technology,Asia,2023-03-31,52,12,2023-04-12,1,10.6
V005,2023-02-17,69812,Logistics,Asia,2023-03-30,41,14,2023-04-13,1,10.833333333333334
V005,2023-03-09,74135,Services,Asia,2023-03-31,22,14,2023-04-14,1,11.285714285714286
V005,2023-03-09,68094,Raw Materials,Asia,2023-05-06,58,12,2023-05-18,1,11.625
V005,2023-03-15,57918,Technology,EU,2023-04-15,31,14,2023-04-29,1,11.666666666666666
V005,2023-03-21,12451,Services,US,2023-07-09,110,9,2023-07-18,1,11.9
V005,2023-03-24,70021,Technology,Africa,2023-05-16,53,12,2023-05-28,1,11.636363636363637
V005,2023-03-27,42062,Raw Materials,US,2023-07-05,100,8,2023-07-13,1,11.666666666666666
V005,2023-04-25,2968,Raw Materials,EU,2023-08-06,103,9,2023-08-15,1,11.384615384615385
V005,2023-05-09,35877,Logistics,Asia,2023-07-27,79,14,2023-08-10,1,11.214285714285714
V005,2023-05-10,51799,Raw Materials,EU,2023-08-13,95,9,2023-08-22,1,11.4
